size_low_pass,size_notch,Volume,Entropy
3.0,4.6,198.70561336114724,822.0510928425579
3.0,4.8,196.67854290092538,820.1523252495952
3.0,5.0,190.90685652143978,814.1126517120136
3.2,0.2,0.0,-0.0
3.2,0.4,215.5448073086833,851.4225265215417
3.2,0.6,212.37182044743798,846.8312074345558
3.2,0.8,206.03182416498615,834.8047977315022
3.2,1.0,200.9208771850388,824.9735360339722
3.2,1.2,198.1188988232732,820.6777836899759
3.2,1.4,196.783927169249,819.8838688204321
3.2,1.6,194.82147027316546,818.0824837531859
3.2,1.8,190.7702169934226,816.1062132555275
3.2,2.0,195.40973469063852,818.3794184327159
3.2,2.2,197.70428373666007,819.9928868286579
3.2,2.4,198.13324525506192,820.783102430045
3.2,2.6,194.33286675873296,818.788648065088
3.2,2.8,198.17818569906845,822.8011577985601
3.2,3.0,195.91324876541321,820.2260808749426
3.2,3.2,194.77265758621755,819.3289390701118
3.2,3.4,189.71852466977037,814.0403214688895
3.2,3.6,195.12505616177376,819.4040474646035
3.2,3.8,196.27130002059863,818.1898166621747
3.2,4.0,195.01482381648597,816.7110950654495
3.2,4.2,195.85584579274357,818.975704473925
3.2,4.4,199.90434903661617,823.4626902175455
3.2,4.6,197.85425808424628,822.01680749797
3.2,4.8,195.28477709301785,818.9624931860064
3.2,5.0,190.33779138532145,813.2626034332263
3.4,0.2,0.0,-0.0
3.4,0.4,215.58844327072677,852.6499508961408
3.4,0.6,212.35063326673045,847.9898736833692
3.4,0.8,205.39548720387842,835.1778697882075
3.4,1.0,199.77298829866504,824.7732371824586
3.4,1.2,196.25227745305034,818.769003515773
3.4,1.4,195.1478648196905,818.6021034327282
3.4,1.6,193.52034881674547,817.2208057229209
3.4,1.8,190.10405871115518,814.5138429546402
3.4,2.0,195.53929034536486,818.6860938574616
3.4,2.2,198.19035772694428,821.3937725239177
3.4,2.4,195.67247133367442,819.2540308620936
3.4,2.6,193.44972427984152,817.8175655644784
3.4,2.8,196.8878287033529,821.9471536422708
3.4,3.0,195.6347257344265,819.937823500317
3.4,3.2,194.21445409276248,819.047681235471
3.4,3.4,189.67373636869905,814.1599040871891
3.4,3.6,194.57299417730314,819.1334512822301
3.4,3.8,195.63740461861354,818.2614718610008
3.4,4.0,194.5545113169597,815.8538002530372
3.4,4.2,195.7203300124567,818.9059886873746
3.4,4.4,200.38151471673817,823.7640852610156
3.4,4.6,196.39489151166939,820.755113026606
3.4,4.8,193.91470081492264,817.9784686546769
3.4,5.0,189.92554641238564,812.8336556541338
3.6,0.2,0.0,-0.0
3.6,0.4,216.2007767555981,854.4321564676469
3.6,0.6,212.64392607176504,849.2885314613785
3.6,0.8,205.65058916705382,836.6807619047285
3.6,1.0,199.63000584264802,826.2947015123718
3.6,1.2,195.04646608439305,818.570562119062
3.6,1.4,193.24104836756405,817.091631021618
3.6,1.6,192.07509058513122,816.3837628106078
3.6,1.8,189.1590257137976,812.7174926756179
3.6,2.0,195.2585844461886,818.7077019681832
3.6,2.2,197.43395471049791,821.4761766558082
3.6,2.4,195.22158459470666,819.2553980900843
3.6,2.6,192.80364846284672,817.4298196881246
3.6,2.8,195.31951922099293,820.9026934119047
3.6,3.0,195.17554785288206,819.443591806371
3.6,3.2,193.46366545483053,818.8362631406928
3.6,3.4,189.7938176434587,814.5622780577996
3.6,3.6,192.7534057525277,817.3281293105399
3.6,3.8,194.96073467701353,818.0071265709277
3.6,4.0,194.25742135748953,816.043773892424
3.6,4.2,195.23097282144016,818.8990058351613
3.6,4.4,198.84727031361092,822.9209815709851
3.6,4.6,195.4725018865966,820.6227398731851
3.6,4.8,193.3751847844007,817.6378559276509
3.6,5.0,189.50037373548844,812.2249203596454
3.8,0.2,0.0,-0.0
3.8,0.4,218.24306038000566,857.6073310154886
3.8,0.6,214.45147026584237,852.042375165378
3.8,0.8,207.57205794315155,839.8474410011339
3.8,1.0,200.91764632641372,828.7272064130974
3.8,1.2,195.59069746577623,820.2217128699239
3.8,1.4,192.6717513324171,817.0887571905599
3.8,1.6,190.7998803234027,815.2935723737199
3.8,1.8,188.7932409790129,812.300727664145
3.8,2.0,193.5196897028598,817.9444090881583
3.8,2.2,197.98108895033948,822.5192183773812
3.8,2.4,197.72451891603285,822.4039699379974
3.8,2.6,194.3204003565274,820.6845181316986
3.8,2.8,196.63962170736045,822.9689824148176
3.8,3.0,194.85285575414864,819.7015701127858
3.8,3.2,192.6079101489097,817.3095649282775
3.8,3.4,190.16261255285062,814.4909889810782
3.8,3.6,193.04219241440347,817.3824257613765
3.8,3.8,195.09613510357636,817.8635717330852
3.8,4.0,195.59595396731024,818.1716854260035
3.8,4.2,193.20404428032776,817.3102986833366
3.8,4.4,197.7822141706439,822.5208616518927
3.8,4.6,196.6982931179034,822.1972299148749
3.8,4.8,195.04032827236966,819.4081499327392
3.8,5.0,191.1800448396461,813.9476372041191
4.0,0.2,0.0,-0.0
4.0,0.4,219.48047239019166,858.360212049096
4.0,0.6,216.14726999315252,853.3577460035509
4.0,0.8,209.73435072822798,842.0391474079174
4.0,1.0,202.8259932572993,830.8608226370745
4.0,1.2,197.04395164850456,822.2680532099652
4.0,1.4,193.10190309022533,816.7111547276166
4.0,1.6,191.80674358219744,814.5867672987796
4.0,1.8,187.94256542377414,811.0262304989158
4.0,2.0,190.87260060468776,815.6966657084547
4.0,2.2,195.93733793634993,821.2055136940718
4.0,2.4,197.25629911670822,821.7084043837042
4.0,2.6,192.72100329724725,819.4594258887018
4.0,2.8,197.98942118724202,824.3820553332304
4.0,3.0,194.32707391400643,818.4377520789958
4.0,3.2,193.01033764544488,816.6331395075601
4.0,3.4,187.37722501199784,812.7663492320702
4.0,3.6,190.19922120493678,814.4013338334781
4.0,3.8,192.3291972729707,815.9041056383852
4.0,4.0,192.9584196610207,816.4452823597811
4.0,4.2,190.4326074586845,814.7748861129315
4.0,4.4,196.7168702594299,822.1766749760683
4.0,4.6,197.50085176752862,822.986050710252
4.0,4.8,195.09492167459715,818.9267282558383
4.0,5.0,190.15192822384705,813.106254808306
4.2,0.2,0.0,-0.0
4.2,0.4,220.68817294135113,860.867204425543
4.2,0.6,217.60025130627437,856.3117345017474
4.2,0.8,211.07478061719522,844.5798061032671
4.2,1.0,204.76608691599668,833.9631516624229
4.2,1.2,200.07159813370376,827.2968556535519
4.2,1.4,195.320032740055,820.4369551738911
4.2,1.6,191.60324690465015,815.4407179292111
4.2,1.8,186.8863624977389,811.3597472358457
4.2,2.0,187.13289520174615,812.3934788868328
4.2,2.2,193.5440726449322,819.8072546927982
4.2,2.4,195.70456019488353,822.204201789295
4.2,2.6,192.06056585179905,819.9456876495899
4.2,2.8,198.64219376105342,825.1568252035883
4.2,3.0,194.7164627898542,820.0856518174849
4.2,3.2,193.04720041203,818.398367978534
4.2,3.4,185.2906771193779,812.1443620804441
4.2,3.6,188.66332220014948,813.5077383969436
4.2,3.8,191.13825393050104,816.1011691300805
4.2,4.0,192.1942230824177,816.8630518412103
4.2,4.2,189.11328849022962,814.6073716063512
4.2,4.4,194.18391649314867,820.8305963679795
4.2,4.6,196.23416129952534,823.8673661558057
4.2,4.8,192.1787785177114,818.8591220312446
4.2,5.0,185.74711910297674,810.6601098989719
4.4,0.2,0.0,-0.0
4.4,0.4,226.40278319029665,864.0921339571172
4.4,0.6,223.66813522117,859.8635727343915
4.4,0.8,217.5306367653047,848.5621096380114
4.4,1.0,211.95713881062977,838.85534906908
4.4,1.2,208.3057640944728,833.7291083004917
4.4,1.4,202.48206937156237,827.5259325007065
4.4,1.6,195.40485712721787,820.5817352311376
4.4,1.8,187.45377745572245,812.3420538687311
4.4,2.0,191.98681207062987,816.930427058083
4.4,2.2,199.81303593079107,824.5672254896233
4.4,2.4,201.38951649836764,827.1548114744083
4.4,2.6,195.68992349974195,823.958285576227
4.4,2.8,202.6469037384504,828.3733370517858
4.4,3.0,197.04148049516138,821.8029071549123
4.4,3.2,195.10069580881876,820.229126493638
4.4,3.4,184.8115570065653,811.9430416227889
4.4,3.6,190.14964121042468,816.1218741028513
4.4,3.8,195.01521370120793,820.1254053531624
4.4,4.0,194.97599532814638,820.0849351534688
4.4,4.2,194.2731271697647,820.1234208890414
4.4,4.4,197.894753317598,823.6927482142321
4.4,4.6,201.33921864203967,826.8213595734769
4.4,4.8,198.3053117927597,823.818407685531
4.4,5.0,189.5225704828693,815.9650995225055
4.6,0.2,0.0,-0.0
4.6,0.4,227.2811919147794,864.6872542490498
4.6,0.6,224.39862515316594,860.4200874703025
4.6,0.8,217.69275339774921,848.3361801085645
4.6,1.0,211.72526962912397,838.0057413988364
4.6,1.2,208.11495195803676,832.9429361785768
4.6,1.4,204.14376428210002,828.8699817271129
4.6,1.6,199.5159261146743,823.8871009372824
4.6,1.8,190.06347344883355,815.9540500068296
