m1,m2,Volume,Entropy
4.5,0.5,209.44171148047988,968.3755231095176
4.5,1.0,219.0993566638289,979.5644686451902
4.5,1.5,225.62036126912145,984.2484528784448
4.5,2.0,229.68138761822803,985.9608320673668
4.5,2.5,231.92099867497717,986.2400079547124
4.5,3.0,232.8425869338923,985.7777821704524
4.5,3.5,232.81921818007612,984.9076117590002
4.5,4.0,232.12018193609896,983.8030384996108
4.5,4.5,230.9386668926317,982.5610488723956
4.5,5.0,229.41382432512728,981.2391390754748
4.5,5.5,227.64672123406316,979.8729591917872
4.5,6.0,225.7114632942965,978.4853291175187
4.5,6.5,223.6628784144996,977.09116726855
4.5,7.0,221.5418434921587,975.7003506693808
4.5,7.5,219.37901337341123,974.3194446868696
4.5,8.0,217.19746399725776,972.9528013021336
4.5,8.5,215.01459110661463,971.6032709033364
4.5,9.0,212.8434924476743,970.2726821107284
4.5,9.5,210.6939868103359,968.9621629753964
4.5,10.0,208.5733742345746,967.6723611066566
4.5,10.5,206.4870092554011,966.4035956780774
4.5,11.0,204.43873736210816,965.155963795527
4.5,11.5,202.43123017008287,963.9294127863334
4.5,12.0,200.4662447492474,962.7237905758186
4.5,12.5,198.5448255770172,961.5388818949511
4.5,13.0,196.6674626809624,960.374431204366
4.5,13.5,194.83421604742625,959.230158000657
4.5,14.0,193.04481385922173,958.1057702376896
4.5,14.5,191.2987302941496,957.0009694121936
4.5,15.0,189.59524726668377,955.9154551879304
4.5,15.5,187.9335034905375,954.8489293143764
4.5,16.0,186.3125334845455,953.801096405535
4.5,16.5,184.7312985713293,952.7716646918844
4.5,17.0,183.18871147991783,951.7603470519304
4.5,17.5,181.68365582561503,950.7668602380752
4.5,18.0,180.2150014781321,949.7909258495253
4.5,18.5,178.78161662408826,948.8322685416936
4.5,19.0,177.38237716896606,947.8906172296806
4.5,19.5,176.0161739964201,946.965704042236
4.5,20.0,174.68191850188714,946.0572650063837
5.0,0.5,198.97279137278707,973.2446675037842
5.0,1.0,208.08554725501233,984.5932439595632
5.0,1.5,214.571906888163,989.7176128416586
5.0,2.0,218.9008974166362,991.836810676551
5.0,2.5,221.5654426487703,992.4548381274184
5.0,3.0,222.97728207328365,992.2804970889104
5.0,3.5,223.45780936893613,991.6648107310122
5.0,4.0,223.2493343458758,990.7924123009071
5.0,4.5,222.53199648719712,989.766579230688
5.0,5.0,221.43943975579535,988.6483878484862
5.0,5.5,220.0712208210138,987.4756577359612
5.0,6.0,218.5020103510142,986.2726501997558
5.0,6.5,216.78823908555938,985.0553228175124
5.0,7.0,214.97286286935977,983.8343451971222
5.0,7.5,213.08878677284812,982.6169172771948
5.0,8.0,211.1613435160046,981.407903255942
5.0,8.5,209.21010483599554,980.2105710495599
5.0,9.0,207.2502195761287,979.0270867355086
5.0,9.5,205.29341298842746,977.8588491177892
5.0,10.0,203.3487409935506,976.7067250695936
5.0,10.5,201.42316524326498,975.5712097067343
5.0,11.0,199.52199567806366,974.4525434130616
5.0,11.5,197.64923403951508,973.350791671398
5.0,12.0,195.80784257591864,972.2659019828503
5.0,12.5,193.99995569217555,971.197744530717
5.0,13.0,192.22704768322694,970.1461405061515
5.0,13.5,190.49006637790396,969.1108809378385
5.0,14.0,188.78954011554777,968.0917418636452
5.0,14.5,187.12566371422693,967.0884908062712
5.0,15.0,185.498367782876,966.1008952563824
5.0,15.5,183.90737475225944,965.1287247207493
5.0,16.0,182.352244261631,964.1717534635086
5.0,16.5,180.83240997568805,963.2297618263843
5.0,17.0,179.34720947449122,962.3025359266967
5.0,17.5,177.89590852457138,961.3898686505186
5.0,18.0,176.47772077860702,960.4915580872588
5.0,18.5,175.0918237462118,959.6074083940529
5.0,19.0,173.73737171651695,958.7372276104771
5.0,19.5,172.41350618457946,957.8808290081507
5.0,20.0,171.11936423086263,957.0380291507408
5.5,0.5,189.6517344854691,977.9651616295299
5.5,1.0,198.2484446846883,989.3749493526936
5.5,1.5,204.63011957775922,994.8496976134105
5.5,2.0,209.1162208979067,997.3119367016058
5.5,2.5,212.08973132157269,998.2182755813878
5.5,3.0,213.88656859095335,998.2863566860838
5.5,3.5,214.78105363334112,997.8822446626667
5.5,4.0,214.98835142483063,997.2014136204667
5.5,4.5,214.67381395532624,996.3536537329377
5.5,5.0,213.9635530097311,995.4037623196541
5.5,5.5,212.95374300809038,994.3917045834025
5.5,6.0,211.71801121177714,993.343046712744
5.5,6.5,210.3130432466639,992.2746042911538
5.5,7.0,208.78275141606997,991.1976563442037
5.5,7.5,207.16135545039543,990.1198583006116
5.5,8.0,205.47566257342697,989.0464356267934
5.5,8.5,203.74676421847167,987.9809466366897
5.5,9.0,201.99130831022697,986.9257894155481
5.5,9.5,200.22246158643523,985.8825498120151
5.5,10.0,198.45064406673853,984.8522399319955
5.5,10.5,196.68409465898515,983.8354688375248
5.5,11.0,194.92931050124275,982.8325637392942
5.5,11.5,193.19139101959553,981.8436545471482
5.5,12.0,191.47430941826454,980.868737715376
5.5,12.5,189.78112840660174,979.9077188121278
5.5,13.0,188.11417270711885,978.9604473259506
5.5,13.5,186.47516779364713,978.0267352686005
5.5,14.0,184.86535204102336,977.1063767400199
5.5,14.5,183.2855677916122,976.199155820137
5.5,15.0,181.73633559430496,975.3048569657457
5.5,15.5,180.21791493173026,974.4232672374176
5.5,16.0,178.73035403850383,973.554181151089
5.5,16.5,177.273530868085,972.6974014810511
5.5,17.0,175.84718684547536,971.852740102308
5.5,17.5,174.45095471645084,971.0200185191221
5.5,18.0,173.08438154852934,970.1990664631932
5.5,18.5,171.7469477375644,969.3897228517818
5.5,19.0,170.43808271423637,968.5918343129322
5.5,19.5,169.15717791736841,967.8052539544019
5.5,20.0,167.90359749882646,967.0298412802797
6.0,0.5,181.3844469812537,982.4597749178304
6.0,1.0,189.4997066130303,993.8588813170725
6.0,1.5,195.73547354171694,999.6132298269391
6.0,2.0,200.30013585328823,1002.3681766855586
6.0,2.5,203.4934402330823,1003.5242340459467
6.0,3.0,205.58970623209714,1003.8005234372223
6.0,3.5,206.8218466117898,1003.5752000078043
6.0,4.0,207.3791797452168,1003.0540067846547
6.0,4.5,207.41174284379503,1002.3534511748876
6.0,5.0,207.0369842386214,1001.5423343075014
6.0,5.5,206.34647146546897,1000.662942629142
6.0,6.0,205.4116557896758,999.7421994767343
6.0,6.5,204.28848780748535,998.7977473343559
6.0,7.0,203.02098897198033,997.8414030287979
6.0,7.5,201.64397281196267,996.8811958837326
6.0,8.0,200.1851076516748,995.9226240724
6.0,8.5,198.6664813679236,994.9694558025296
6.0,9.0,197.10579334602085,994.0242569596294
6.0,9.5,195.5172679878868,993.0887433021209
6.0,10.0,193.91235979632376,992.1640295745407
6.0,10.5,192.3003016970831,991.250801802517
6.0,11.0,190.68853470212105,990.3494416836818
6.0,11.5,189.08304710424738,989.4601180625945
6.0,12.0,187.48864416661448,988.582849963629
6.0,12.5,185.90916399612368,987.7175558017196
6.0,13.0,184.3476514262121,986.8640862268311
6.0,13.5,182.806498889389,986.0222511186294
6.0,14.0,181.2875611517038,985.1918359988389
6.0,14.5,179.7922492084656,984.3726154348795
6.0,15.0,178.32160745858096,983.5643619443953
6.0,15.5,176.87637738013257,982.7668518206751
6.0,16.0,175.45705024743592,981.9798701156859
6.0,16.5,174.06391090555488,981.2032111268966
6.0,17.0,172.69707421253227,980.4366813014758
6.0,17.5,171.35651544339026,979.6800991716904
6.0,18.0,170.0420957018003,978.9332953948076
6.0,18.5,168.7535831893037,978.1961122495422
6.0,19.0,167.49067102611428,977.4684028757956
6.0,19.5,166.25299219290207,976.7500308039553
6.0,20.0,165.04013206268786,976.0408683620035
6.5,0.5,174.06085511921543,986.6814722226561
6.5,1.0,181.7302081365152,998.0169519988735
6.5,1.5,187.7970935482843,1003.9946343821523
6.5,2.0,192.38493546043085,1007.0019778656571
6.5,2.5,195.72988406603884,1008.3779713818893
6.5,3.0,198.05667872155448,1008.8368952400383
6.5,3.5,199.5626147549018,1008.7658310831356
6.5,4.0,200.41325009609193,1008.3798624550013
6.5,4.5,200.74357299113356,1007.8022446688638
6.5,5.0,200.66187138039078,1007.1060659489269
6.5,5.5,200.2543581648577,1006.3361898871041
6.5,6.0,199.58953263592616,1005.5210599163947
