m1,m2,Volume,Entropy
4.0,14.5,186.29378238509435,923.8509328751054
4.0,15.0,184.93359097097044,922.5707627136586
4.0,15.5,183.59046755926855,921.3033437442158
4.0,16.0,182.26489983243877,920.0486092609765
4.0,16.5,180.95725261830228,918.8064583678006
4.0,17.0,179.66778549250586,917.5767652909324
4.0,17.5,178.39666786206766,916.3593830806645
4.0,18.0,177.1439919255871,915.1541502959008
4.0,18.5,175.90978383627927,913.9608966050789
4.0,19.0,174.69401333803734,912.7794454792744
4.0,19.5,173.49660209939424,911.6096159656852
4.0,20.0,172.31743093335734,910.4512269352765
4.5,0.5,200.40446572472476,952.1268003719113
4.5,1.0,202.2013013567821,955.7031334812132
4.5,1.5,203.4995920820057,957.926893317288
4.5,2.0,204.33332169290796,959.1450262592749
4.5,2.5,204.77634582629506,959.6643675621872
4.5,3.0,204.8948452002445,959.6944492343138
4.5,3.5,204.74423815320915,959.3764515673727
4.5,4.0,204.37076950091708,958.8071571074402
4.5,4.5,203.81307666931747,958.054288509485
4.5,5.0,203.10343675144335,957.1661619418501
4.5,5.5,202.2687954799937,956.1778690860647
4.5,6.0,201.3316419036497,955.1153135242483
4.5,6.5,200.31075485004192,953.9978913629893
4.5,7.0,199.22183456952013,952.8403065810348
4.5,7.5,198.07803135580897,951.6538264185177
4.5,8.0,196.89038382019555,950.4471598903054
4.5,8.5,195.66817988226654,949.2270849135078
4.5,9.0,194.41925296814622,947.9989056889831
4.5,9.5,193.1502246694568,946.7667881298692
4.5,10.0,191.8667035854495,945.5340106625326
4.5,10.5,190.57344851307906,944.303154803011
4.5,11.0,189.27450271358515,943.0762508264532
4.5,11.5,187.97330473344243,941.8548912068946
4.5,12.0,186.67278020606904,940.640317176257
4.5,12.5,185.3754181962162,939.4334901390051
4.5,13.0,184.08333494826834,938.2351450994445
4.5,13.5,182.79832733669963,937.0458361056549
4.5,14.0,181.52191786690088,935.8659702630254
4.5,14.5,180.25539271578094,934.6958370587411
4.5,15.0,178.99983401565083,933.5356309234228
4.5,15.5,177.7561473569925,932.3854708674045
4.5,16.0,176.52508530372657,931.2454142486033
4.5,16.5,175.30726756898574,930.1154698730525
4.5,17.0,174.10319838255117,928.9956088272648
4.5,17.5,172.9132814870743,927.8857716368968
4.5,18.0,171.73783312426798,926.7858757444449
4.5,18.5,170.5770933107149,925.695821958254
4.5,19.0,169.43123565289497,924.6154958832992
4.5,19.5,168.30037591017856,923.5447749877457
4.5,20.0,167.18457948105907,922.4835292676242
5.0,0.5,190.8534153664599,957.9086215576078
5.0,1.0,192.5300310710912,961.400729795991
5.0,1.5,193.80497641729517,963.7108525353266
5.0,2.0,194.68599883087944,965.0943157262869
5.0,2.5,195.22717511453536,965.8133106434708
5.0,3.0,195.4804458543336,966.0558372973321
5.0,3.5,195.49036130885523,965.9523094567213
5.0,4.0,195.29473904421567,965.5941534052408
5.0,4.5,194.92573606630225,965.0465517319823
5.0,5.0,194.41072330164656,964.3567618686095
5.0,5.5,193.77299130329877,963.5595801185533
5.0,6.0,193.03234634353066,962.6810010964199
