ThetaIncident,SineRatio,Power1,Power2,volume,volume_a,total,total_a,,measure,entropy
27,0.8,0.5,1,394,466,138,125,4219,11,1864
27,0.8,0.5,2,399,436,139,137,4296,13,1906
27,0.8,1,0.5,403,466,136,125,4339,18,1921
27,0.8,1,1,447,481,121,120,4841,22,2113
27,0.8,1,2,444,457,122,128,4810,21,2103
27,0.8,2,0.5,406,436,137,137,4412,23,1973
27,0.8,2,1,449,457,121,128,4884,33,2142
27,0.8,2,2,494,474,110,122,5384,34,2320
27,0.9,0.5,0.5,357,451,149,128,3790,9,1692
27,0.9,0.5,1,387,466,136,125,4152,14,1846
27,0.9,0.5,2,396,436,137,137,4272,17,1903
27,0.9,1,0.5,391,466,135,125,4209,18,1875
27,0.9,1,1,427,481,121,120,4618,26,2032
27,0.9,1,2,427,457,122,128,4630,26,2044
27,0.9,2,0.5,399,436,137,137,4326,22,1936
27,0.9,2,1,429,457,122,128,4664,21,2064
27,0.9,2,2,465,474,113,122,5058,24,2202
27,1,0.5,0.5,362,445,158,135,3869,12,1736
27,1,0.5,1,379,436,151,138,4086,19,1836
27,1,0.5,2,390,418,147,147,4229,17,1902
27,1,1,0.5,379,436,151,138,4086,19,1836
27,1,1,1,386,426,148,143,4181,15,1882
27,1,1,2,392,414,146,149,4256,17,1915
27,1,2,0.5,390,418,147,147,4229,17,1902
27,1,2,1,392,414,146,149,4256,17,1915
27,1,2,2,394,409,145,152,4283,18,1928
36,0.1,0.5,0.5,361,451,155,128,3867,10,1741
36,0.1,0.5,1,370,466,149,125,3934,7,1746
36,0.1,0.5,2,369,436,153,137,3866,4,1685
36,0.1,1,0.5,415,466,135,125,4553,20,2051
36,0.1,1,1,438,481,127,120,4786,23,2122
36,0.1,1,2,418,457,133,128,4491,13,1968
36,0.1,2,0.5,416,436,136,137,4595,24,2086
36,0.1,2,1,451,457,124,128,4996,31,2240
36,0.1,2,2,479,474,116,122,5274,33,2318
36,0.2,0.5,0.5,363,451,154,128,3892,9,1752
36,0.2,0.5,1,376,466,147,125,4013,11,1783
36,0.2,0.5,2,380,436,147,137,4007,8,1750
36,0.2,1,0.5,416,466,135,125,4569,29,2060
36,0.2,1,1,442,481,125,120,4844,22,2152
36,0.2,1,2,428,457,129,128,4609,13,2016
36,0.2,2,0.5,416,436,136,137,4600,24,2091
36,0.2,2,1,453,457,124,128,5020,31,2250
36,0.2,2,2,485,474,114,122,5352,31,2353
36,0.3,0.5,0.5,365,451,153,128,3923,10,1770
36,0.3,0.5,1,382,466,146,125,4094,10,1823
36,0.3,0.5,2,388,436,145,137,4122,7,1809
36,0.3,1,0.5,418,466,135,125,4587,27,2064
36,0.3,1,1,447,481,125,120,4905,27,2177
36,0.3,1,2,437,457,128,128,4727,18,2070
36,0.3,2,0.5,417,436,136,137,4606,24,2090
