ThetaIncident,SineRatio,Power1,Power2,volume,analytical volume,entropy
36,0.9,1,0.5,421,466,4620
36,0.9,1,1,456,481,5032
36,0.9,1,2,447,457,4932
36,0.9,2,0.5,414,436,4571
36,0.9,2,1,450,457,4978
36,0.9,2,2,488,474,5409
36,1,0.5,0.5,387,445,4228
36,1,0.5,1,395,436,4351
36,1,0.5,2,397,418,4384
36,1,1,0.5,395,436,4351
36,1,1,1,397,426,4378
36,1,1,2,397,414,4385
36,1,2,0.5,397,418,4384
36,1,2,1,397,414,4385
36,1,2,2,397,409,4383
45,0.1,0.5,0.5,369,451,4019
45,0.1,0.5,1,369,466,3960
45,0.1,0.5,2,369,436,3883
45,0.1,1,0.5,426,466,4759
45,0.1,1,1,434,481,4810
45,0.1,1,2,411,457,4458
45,0.1,2,0.5,421,436,4732
45,0.1,2,1,447,457,5028
45,0.1,2,2,464,474,5184
45,0.2,0.5,0.5,371,451,4046
45,0.2,0.5,1,375,466,4045
45,0.2,0.5,2,380,436,4032
45,0.2,1,0.5,427,466,4775
45,0.2,1,1,438,481,4869
45,0.2,1,2,421,457,4582
45,0.2,2,0.5,422,436,4737
45,0.2,2,1,448,457,5051
45,0.2,2,2,470,474,5263
45,0.3,0.5,0.5,375,451,4090
45,0.3,0.5,1,382,466,4133
45,0.3,0.5,2,387,436,4139
45,0.3,1,0.5,429,466,4799
45,0.3,1,1,443,481,4936
45,0.3,1,2,429,457,4691
45,0.3,2,0.5,422,436,4745
45,0.3,2,1,451,457,5080
45,0.3,2,2,476,474,5340
45,0.4,0.5,0.5,380,451,4146
45,0.4,0.5,1,389,466,4223
45,0.4,0.5,2,393,436,4223
45,0.4,1,0.5,432,466,4828
45,0.4,1,1,449,481,5001
45,0.4,1,2,435,457,4771
45,0.4,2,0.5,423,436,4754
45,0.4,2,1,453,457,5109
45,0.4,2,2,481,474,5401
45,0.5,0.5,0.5,386,451,4222
45,0.5,0.5,1,399,466,4342
45,0.5,0.5,2,399,436,4323
45,0.5,1,0.5,435,466,4866
45,0.5,1,1,456,481,5091
45,0.5,1,2,442,457,4878
45,0.5,2,0.5,424,436,4765
45,0.5,2,1,457,457,5147
45,0.5,2,2,488,474,5490
45,0.6,0.5,0.5,394,451,4309
45,0.6,0.5,1,408,466,4462
45,0.6,0.5,2,404,436,4407
45,0.6,1,0.5,438,466,4909
45,0.6,1,1,463,481,5172
45,0.6,1,2,447,457,4953
45,0.6,2,0.5,425,436,4779
45,0.6,2,1,460,457,5186
45,0.6,2,2,493,474,5551
45,0.7,0.5,0.5,402,451,4418
45,0.7,0.5,1,420,466,4617
45,0.7,0.5,2,412,436,4518
45,0.7,1,0.5,443,466,4960
45,0.7,1,1,471,481,5280
45,0.7,1,2,455,457,5061
45,0.7,2,0.5,427,436,4794
45,0.7,2,1,464,457,5233
45,0.7,2,2,500,474,5639
45,0.8,0.5,0.5,411,451,4529
45,0.8,0.5,1,431,466,4771
45,0.8,0.5,2,417,436,4615
45,0.8,1,0.5,447,466,5008
45,0.8,1,1,479,481,5380
45,0.8,1,2,461,457,5153
45,0.8,2,0.5,428,436,4805
45,0.8,2,1,468,457,5271
